                 X [m]	                 Y [m]	c [MN/m³]
108.7	11.56	4.778068789
108.7	11.56	4.778068789
108.7	11.56	4.778068789
103.72	11.56	6.544200045
103.72	11.56	6.544200045
103.72	11.56	6.544200045
103.72	11.56	6.544200045
103.72	11.56	6.544200045
103.72	11.56	6.544200045
103.72	11.56	6.544200045
112.88	8.88	1.33230834
112.88	8.88	1.33230834
112.88	8.88	1.33230834
112.88	8.88	1.33230834
112.88	8.88	1.33230834
112.88	8.88	1.33230834
-0.22	42.96	13.53129888
-0.22	42.96	13.53129888
-0.22	42.96	13.53129888
-0.22	42.96	13.53129888
-0.22	42.96	13.53129888
-0.22	42.96	13.53129888
-0.22	42.96	13.53129888
108.7	15.57	2.376840411
108.7	15.57	2.376840411
108.7	15.57	2.376840411
108.7	15.57	2.376840411
108.7	15.57	2.376840411
108.7	10.59	5.182534149
108.7	10.59	5.182534149
108.7	10.59	5.182534149
108.7	10.59	5.182534149
108.7	10.59	5.182534149
108.7	10.59	5.182534149
103.72	10.71	6.579319984
103.72	10.71	6.579319984
103.72	10.71	6.579319984
103.72	10.71	6.579319984
103.72	10.71	6.579319984
103.72	10.71	6.579319984
108.7	8.88	5.689013665
108.7	8.88	5.689013665
108.7	8.88	5.689013665
108.7	8.88	5.689013665
108.7	8.88	5.689013665
108.7	8.88	5.689013665
108.7	8.88	5.689013665
112.88	-6.97	1.139789707
112.88	-6.97	1.139789707
112.88	-6.97	1.139789707
112.88	-6.97	1.139789707
112.88	-6.97	1.139789707
112.88	-6.97	1.139789707
112.88	-6.97	1.139789707
5.58	42.96	7.821956351
5.58	42.96	7.821956351
5.58	42.96	7.821956351
5.58	42.96	7.821956351
5.58	42.96	7.821956351
5.58	42.96	7.821956351
5.58	42.96	7.821956351
-0.22	35.62	13.82886678
-0.22	35.62	13.82886678
-0.22	35.62	13.82886678
-0.22	35.62	13.82886678
-0.22	35.62	13.82886678
-0.22	35.62	13.82886678
-0.22	35.62	13.82886678
-0.22	35.62	13.82886678
103.28	10.71	6.71209702
103.28	10.71	6.71209702
103.28	10.71	6.71209702
103.28	10.71	6.71209702
103.28	10.71	6.71209702
103.28	8.88	6.374434092
103.28	8.88	6.374434092
103.28	8.88	6.374434092
103.28	8.88	6.374434092
103.28	8.88	6.374434092
103.28	8.88	6.374434092
103.28	8.88	6.374434092
108.7	-0.22	5.131441354
108.7	-0.22	5.131441354
108.7	-0.22	5.131441354
108.7	-0.22	5.131441354
108.7	-0.22	5.131441354
108.7	-0.22	5.131441354
108.7	-0.22	5.131441354
108.7	-0.22	5.131441354
97.18	-6.97	0.887441734
97.18	-6.97	0.887441734
97.18	-6.97	0.887441734
97.18	-6.97	0.887441734
